Prompt Template,Temperature,Top_p,Correct/Total,Easy,Medium,Hard,Very Hard
simple,0.95,0.95,6/830,6/196,0/298,0/237,0/99
cot,0.95,0.95,6/830,6/196,0/298,0/237,0/99
role,0.95,0.95,3/830,2/196,1/298,0/237,0/99
few-shot,0.95,0.95,9/830,9/196,0/298,0/237,0/99
structured,0.95,0.95,5/830,4/196,0/298,1/237,0/99
constraints,0.95,0.95,4/830,4/196,0/298,0/237,0/99
least-to-most,0.95,0.95,2/830,2/196,0/298,0/237,0/99
prompt-self-consistency,0.95,0.95,7/830,6/196,0/298,1/237,0/99
expert,0.95,0.95,3/830,2/196,0/298,1/237,0/99
comprehensive-expert,0.95,0.95,3/830,3/196,0/298,0/237,0/99
