Prompt Template,Temperature,Top_p,Correct/Total,Easy,Medium,Hard,Very Hard
simple,0.95,0.95,13/830,12/196,1/298,0/237,0/99
cot,0.95,0.95,23/830,22/196,0/298,1/237,0/99
role,0.95,0.95,11/830,11/196,0/298,0/237,0/99
few-shot,0.95,0.95,23/830,23/196,0/298,0/237,0/99
structured,0.95,0.95,23/830,23/196,0/298,0/237,0/99
constraints,0.95,0.95,21/830,19/196,1/298,1/237,0/99
least-to-most,0.95,0.95,22/830,22/196,0/298,0/237,0/99
prompt-self-consistency,0.95,0.95,20/830,20/196,0/298,0/237,0/99
expert,0.95,0.95,16/830,14/196,2/298,0/237,0/99
comprehensive-expert,0.95,0.95,15/830,14/196,0/298,1/237,0/99
