Prompt Template,Temperature,Top_p,Correct/Total,Easy,Medium,Hard,Very Hard
simple,0.95,0.95,48/830,45/196,2/298,1/237,0/99
cot,0.95,0.95,42/830,38/196,2/298,2/237,0/99
role,0.95,0.95,23/830,21/196,1/298,1/237,0/99
few-shot,0.95,0.95,47/830,47/196,0/298,0/237,0/99
structured,0.95,0.95,50/830,48/196,1/298,1/237,0/99
constraints,0.95,0.95,52/830,50/196,0/298,2/237,0/99
least-to-most,0.95,0.95,28/830,26/196,1/298,1/237,0/99
prompt-self-consistency,0.95,0.95,44/830,43/196,0/298,1/237,0/99
expert,0.95,0.95,35/830,33/196,2/298,0/237,0/99
comprehensive-expert,0.95,0.95,39/830,37/196,1/298,1/237,0/99
